id,changed_value_indexes
375,"26"
376,"26"
377,"26"
378,"26"
379,"26"
380,"26"
381,"26"
382,"26"
383,"26"
384,"26"
385,"26"
386,"26"
387,"26"
388,"26"
389,"26"
390,"26"
391,"26"
392,"26"
393,"26"
394,"26"
395,"26"
396,"26"
397,"26"
398,"26"
399,"26"
400,"26"
401,"26"
402,"26"
403,"26"
404,"26"
405,"26"
406,"26"
407,"26"
408,"26"
441,"26"
442,"26"
443,"26"
444,"26"
445,"26"
446,"26"
447,"26"
448,"26"
449,"26"
450,"26"
451,"26"
452,"26"
453,"26"
454,"26"
455,"26"
456,"26"
457,"26"
458,"4,26,28"
459,"4,26,28"
460,"4,26,28"
461,"4,26,28"
462,"4,26,28"
463,"4,26,28"
464,"4,26,28"
465,"4,26,28"
466,"4,26,28"
467,"4,26,28"
468,"4,26,28"
469,"4,26,28"
470,"4,26,28"
471,"4,26,28"
472,"4,26,28"
473,"4,26,28"
474,"4,26,28"
475,"26"
476,"26"
477,"26"
478,"26"
479,"26"
480,"26"
481,"26"
482,"26"
483,"26"
484,"26"
485,"26"
486,"26"
487,"26"
488,"26"
489,"26"
490,"26"
491,"26"
492,"26"
493,"4,26,28"
494,"4,26,28"
495,"4,26,28"
496,"4,26,28"
497,"4,26,28"
498,"4,26,28"
499,"4,26,28"
500,"4,26,28"
501,"4,26,28"
502,"4,26,28"
503,"4,26,28"
504,"4,26,28"
505,"4,26,28"
506,"4,26,28"
507,"4,26,28"
508,"4,26,28"
509,"4,26,28"
510,"4,26,28"
511,"4,26,28"
512,"4,26,28"
513,"4,26,28"
514,"4,26,28"
515,"4,26,28"
516,"4,26,28"
517,"4,26,28"
518,"4,26,28"
519,"4,26,28"
520,"4,26,28"
521,"4,26,28"
522,"4,26,28"
523,"4,26,28"
524,"4,26,28"
525,"4,26,28"
526,"4,26,28"
527,"4,26,28"
528,"4,26,28"
529,"4,17,19,26,28"
530,"4,17,19,26,28"
531,"4,17,19,26,28"
532,"4,17,19,26,28"
533,"4,17,19,26,28"
534,"4,17,19,26,28"
535,"4,17,19,26,28"
536,"4,17,19,26,28"
537,"4,17,19,26,28"
538,"4,17,19,26,28"
539,"4,17,19,26,28"
540,"4,17,19,26,28"
541,"4,17,19,26,28"
542,"4,17,19,26,28"
543,"4,17,19,26,28"
544,"4,17,19,26,28"
545,"4,17,19,26,28"
546,"4,26,28"
547,"4,26,28"
548,"4,26,28"
549,"4,26,28"
550,"4,26,28"
551,"4,26,28"
552,"4,26,28"
553,"4,26,28"
554,"4,26,28"
555,"4,26,28"
556,"4,26,28"
557,"4,26,28"
558,"4,26,28"
559,"4,26,28"
560,"4,26,28"
561,"4,26,28"
562,"4,26,28"
563,"4,26,28"
564,"4,26,28"
565,"4,26,28"
566,"4,26,28"
567,"4,26,28"
568,"4,26,28"
569,"4,26,28"
570,"4,26,28"
571,"4,26,28"
572,"4,26,28"
573,"4,26,28"
574,"4,26,28"
575,"4,26,28"
576,"4,26,28"
577,"4,26,28"
578,"4,26,28"
579,"4,26,28"
580,"4,26,28"
581,"4,26,28"
582,"4,26,28"
583,"4,26,28"
584,"4,26,28"
585,"4,26,28"
586,"4,26,28"
587,"4,26,28"
588,"4,26,28"
589,"4,26,28"
590,"4,26,28"
591,"4,26,28"
592,"4,26,28"
593,"4,26,28"
594,"4,26,28"
595,"4,26,28"
596,"4,26,28"
597,"4,26,28"
598,"26"
599,"26"
600,"26"
601,"26"
602,"26"
603,"26"
604,"26"
605,"26"
606,"26"
607,"26"
608,"26"
609,"26"
610,"26"
611,"26"
612,"26"
613,"26"
614,"26"
615,"26"
616,"26"
617,"26"
618,"26"
619,"26"
620,"26"
621,"26"
622,"26"
623,"26"
624,"26"
625,"26"
626,"26"
627,"26"
628,"26"
629,"26"
630,"26"
631,"26"
632,"26"
633,"26"
634,"26"
635,"26"
636,"26"
637,"26"
638,"26"
639,"26"
640,"26"
641,"26"
642,"26"
665,"26"
666,"26"
667,"26"
668,"26"
669,"26"
670,"26"
671,"26"
672,"26"
673,"26"
674,"26"
675,"26"
676,"26"
677,"26"
678,"26"
679,"26"
680,"26"
681,"26"
1011,"26"
1012,"26"
1013,"26"
1014,"26"
1015,"26"
1016,"26"
1017,"26"
1018,"26"
1019,"26"
1020,"26"
1021,"26"
1022,"26"
1023,"26"
1024,"26"
1025,"26"
1026,"26"
1027,"26"
1028,"26"
1029,"26"
1030,"26"
1031,"26"
1168,"26"
1169,"26"
1170,"26"
1171,"26"
1172,"26"
1173,"26"
1174,"26"
1175,"26"
1176,"26"
1177,"26"
1178,"26"
1179,"26"
1180,"26"
2330,"26"
2331,"26"
2332,"26"
2333,"26"
2334,"26"
2335,"26"
2336,"26"
2381,"5,26"
2382,"5,26"
2383,"5,26"
2384,"5,26"
2385,"26"
2386,"5,26"
2387,"5,26"